Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.486141, 1, 1, 0, 0, 1, 1, 0, 0
1.486141625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861419375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861421875, 0, 1, 1, 0, 1, 1, 1, 0
1.48614225, 0, 1, 0, 0, 1, 1, 0, 0
1.486142875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861431875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861434375, 1, 0, 0, 0, 1, 1, 1, 0
1.486144125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861444375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861446875, 1, 1, 1, 0, 1, 1, 1, 0
1.48614475, 1, 1, 0, 0, 1, 1, 0, 0
1.486145375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861456875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861459375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861469375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861471875, 0, 1, 1, 1, 1, 1, 1, 0
1.486147875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861481875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861484375, 1, 1, 1, 1, 1, 1, 0, 0
1.486149125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861494375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861496875, 0, 0, 0, 1, 1, 0, 1, 0
1.486150375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861506875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861509375, 1, 0, 1, 0, 0, 1, 1, 0
1.486151625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861519375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861521875, 1, 1, 1, 0, 0, 1, 1, 0
1.486152875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861531875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861534375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861544375, 1, 1, 1, 1, 1, 1, 1, 0
1.4861545, 1, 1, 1, 1, 1, 1, 1, 1
1.4861546875, 0, 0, 0, 1, 1, 0, 0, 0
1.486155375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861556875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861559375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861569375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861571875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861581875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861584375, 0, 0, 1, 1, 1, 1, 0, 0
1.486159125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861594375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861596875, 0, 0, 0, 1, 0, 0, 0, 0
1.48615975, 0, 0, 0, 1, 0, 0, 1, 0
1.486160375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861606875, 1, 1, 1, 1, 1, 1, 0, 0
1.48616075, 1, 1, 1, 1, 1, 1, 1, 1
1.4861609375, 0, 1, 1, 1, 1, 0, 1, 1
1.486161, 0, 1, 0, 0, 1, 0, 1, 0
1.486161625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861619375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861621875, 0, 1, 1, 0, 1, 1, 0, 0
1.486162875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861631875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861634375, 0, 0, 1, 0, 1, 1, 0, 0
1.486164125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861644375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861646875, 0, 0, 0, 0, 1, 0, 0, 0
1.486165375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861656875, 1, 1, 1, 1, 1, 1, 0, 0
1.48616575, 1, 1, 1, 1, 1, 1, 1, 1
1.4861659375, 0, 0, 0, 0, 1, 1, 1, 0
1.486166625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861669375, 1, 1, 1, 1, 1, 1, 1, 0
1.486167, 1, 1, 1, 1, 1, 1, 1, 1
1.4861671875, 0, 0, 1, 1, 0, 0, 0, 0
1.486167875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861681875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861684375, 0, 1, 1, 1, 0, 0, 0, 0
1.486169125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861694375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861696875, 0, 1, 1, 1, 0, 0, 0, 0
1.486170375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861706875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861709375, 0, 0, 1, 1, 0, 0, 0, 0
1.486171625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861719375, 1, 1, 1, 1, 1, 1, 0, 0
1.486172, 1, 1, 1, 1, 1, 1, 1, 1
1.4861721875, 0, 0, 0, 1, 0, 0, 0, 0
1.486172875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861731875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861734375, 0, 1, 1, 1, 0, 0, 0, 0
1.486174125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861744375, 1, 1, 1, 1, 1, 1, 1, 0
1.4861745, 1, 1, 1, 1, 1, 1, 1, 1
1.4861746875, 0, 1, 1, 1, 0, 0, 0, 0
1.486175375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861756875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861759375, 0, 0, 0, 0, 0, 0, 0, 0
1.4861769375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861771875, 0, 0, 1, 1, 1, 1, 1, 0
1.486177875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861781875, 1, 1, 1, 1, 1, 1, 1, 1
1.4861784375, 1, 1, 1, 1, 1, 1, 1, 0
1.4861785, 0, 1, 1, 1, 1, 1, 1, 0
1.486179125, 0, 0, 0, 0, 0, 0, 0, 0
1.4861794375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861796875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861806875, 1, 1, 1, 1, 1, 1, 1, 0
1.48618075, 1, 1, 1, 1, 1, 1, 1, 1
1.4861809375, 1, 1, 0, 1, 1, 1, 1, 0
1.486181, 0, 1, 0, 1, 1, 1, 0, 0
1.486181625, 0, 0, 0, 0, 0, 0, 0, 0
1.4861819375, 1, 1, 1, 1, 1, 1, 1, 1
1.4861821875, 0, 0, 1, 1, 1, 0, 0, 0
1.486182875, 0, 0, 0, 0, 0, 0, 0, 0
1.4861831875, 1, 1, 1, 1, 1, 1, 1, 1
